Annotation/Divergence	AB425_SB139.M (1348270.0 total)	AB426_SB139.M (919032.0 total)	AB427_SB139.M (1076940.0 total)	AB428_SB139.M (1045155.0 total)	AB429_SB139.M (1152020.0 total)	AB430_SB139.M (1353472.0 total)	AB431_SB139.M (984314.0 total)	AB432_SB139.M (1095253.0 total)
Vmn1r29|V1rc2|-|6|6 B3|protein-coding	0	0	0	0	0	0	0	0
Gm16442|EG667071|Vmn1r92|-|7|7 A3|protein-coding	0	0	0	0	0	0	0	0
1810007D17Rik|-|-|19|19 D2|ncRNA	0	0	0	0	0	0	0	0
Gjb1|Cnx32|Cx32|connexin-32|-|X D|X 44.06 cM|protein-coding	0	0	0	0	0	0	0	0
Nutm2|Fam22|Gm806|-|13|13 A5|protein-coding	0	0	0	0	0	0	0	0
Ogg1|Mmh|-|6 E3|6 52.75 cM|protein-coding	7	9	6	3	7	6	4	4
Neto2|5530601C23Rik|AI854825|BTCL2|-|8|8 C3|protein-coding	1	0	1	2	4	2	2	2
Gm4981|EG245263|-|10 B4|10|protein-coding	0	0	0	0	0	0	0	0
Cldn20|EG621628|-|17|17 A1|protein-coding	1	1	1	2	0	0	3	0
Apol11a|EG626615|-|15|15 E1|protein-coding	0	0	0	0	0	0	0	0
Il11ra1|AI314697|GP130|Il-11ra|Il11ra|Il11ra2|NR1|-|4 A5|4 21.94 cM|protein-coding	158	96	105	98	132	155	108	135
Rab11fip5|9130206P09Rik|C75969|D6Ertd32e|GAF1|RIP11|-|6 C3|6 37.35 cM|protein-coding	65	38	48	32	55	71	28	31
A130077B15Rik|-|-|10|10 D2|ncRNA	0	0	0	0	0	0	0	0
Cd28|-|-|1 C2|1 30.52 cM|protein-coding	0	0	0	0	0	0	0	0
Sirt7|-|-|11|11 E2|protein-coding	31	26	37	31	46	56	28	47
Tbx20|9430010M06Rik|AL022859|Tbx12|-|9|9 A4|protein-coding	0	0	0	0	0	0	0	0
Il18r1|Il18ralpha|Il1rrp|-|1|1 B|protein-coding	0	0	0	0	0	0	0	0
Kif2c|4930402F02Rik|ESTM5|Knsl6|MCAK|X83316|-|4 D1|4 53.42 cM|protein-coding	5	1	1	2	0	2	1	6
Dctn6|AU044699|WS-3|p27|-|8|8 A4|protein-coding	70	58	64	77	63	86	72	76
Acbd6|0610010G04Rik|2610100E10Rik|-|1|1 G3|protein-coding	40	27	24	36	35	46	29	36
9130227L01Rik|-|-|1|1 C1.2|ncRNA	0	0	0	0	0	0	0	0
Gm12191|OTTMUSG00000005566|-|11|11 B1.2|pseudo	47	57	40	39	42	52	34	39
Olfr316|MOR285-3P|MOR285-6_p|-|11|11 B1.3|protein-coding	0	0	0	0	0	0	0	0
Vmn1r212|V1rh18|-|13|13 A3.1|protein-coding	0	0	0	0	0	0	0	0
Zfp936|EG435970|EG668620|Gm9272|I1C0022H11Rik|-|7|7 B3|protein-coding	0	0	0	0	0	0	0	0
Olfr1295|MOR248-10|-|2|2 E3|protein-coding	0	0	0	0	0	0	0	0
Lhx8|L3|Lhx7|-|3|3 H4|protein-coding	0	0	0	0	0	0	0	0
Gm7609|EG665378|-|1|1 C5|protein-coding	0	0	0	0	0	0	0	0
Olfr129|MOR263-9|-|17|17 B1|protein-coding	0	0	0	0	0	0	0	0
Mdn1|4833432B22Rik|A130070M06|AA958993|D4Abb1e|Gm135|-|4 A5|4 14.3 cM|protein-coding	5	4	4	2	0	3	2	3
Gm11532|OTTMUSG00000001860|Sp6os|-|11 D|11|ncRNA	0	1	0	0	0	0	1	0
Zfp9|1810048F22Rik|AU016736|Krox-4|Zfp-9|mszf79-2|-|6|6 F1|protein-coding	2	0	2	2	2	2	0	2
Fam57b|1500016O10Rik|A330104J06Rik|AI413816|AW060769|-|7|7 F3|protein-coding	0	0	1	2	0	1	1	1
Mir7003|Gm27340|mmu-mir-7003|-|2|2 H2|ncRNA	0	0	0	0	0	0	0	0
Htr4|5-HT-4|5-HT4|5-HT<4L>|5HTR4|-|18|18 E1|protein-coding	0	0	0	0	0	0	0	0
Slco2b1|AI060904|AI852653|OATP-B|Slc21a9|-|7|7 E1|protein-coding	0	0	3	5	0	1	0	0
Zfp280c|BC028839|Suhw3|Zfp633|Znf280c|mKIAA1584|-|X|X A5|protein-coding	2	1	3	1	1	2	1	0
Adgre4|D17Ertd479e|Egf-tm7|Emr4|Fire|Gpr127|-|17 C-D|17 28.98 cM|protein-coding	0	0	0	0	0	0	0	0
Grsf1|BB232551|C80280|D5Wsu31e|-|5 E1|5 43.85 cM|protein-coding	62	48	58	51	67	67	53	57
Zfp180|2310040I01Rik|AI852378|D130011P11|HHZ168|-|7|7 A3|protein-coding	9	5	6	11	5	9	10	9
Spock1|Spock|Ticn1|testican|-|13|13 B1|protein-coding	0	0	0	0	0	0	0	0
Hist2h2bb|H2b-616|-|3|3 F2.1|protein-coding	0	0	1	0	0	0	0	0
Nbl1|D4H1S1733E|DAN|Dana|NO3|-|4 70.57 cM|4 D3|protein-coding	265	153	160	137	211	232	174	201
4933411E08Rik|-|-|10|10 D2|ncRNA	0	0	0	1	0	0	0	0
Usp34|A530081C03Rik|Murr2|-|11 A3.2|11 14.29 cM|protein-coding	22	13	26	16	15	19	11	17
Cyp2f2|Cyp2f|-|7|7 A3|protein-coding	0	0	0	0	0	0	0	0
Hnrnpr|2610003J05Rik|2610528B01Rik|Hnrpr|-|4|4 D3|protein-coding	36	17	20	20	23	38	22	32
Thap2|2900040O07Rik|9030625G08Rik|AI450385|AI649097|-|10|10 D2|protein-coding	7	6	9	6	6	12	8	5
Zcchc8|5730565F05Rik|-|5|5 F|protein-coding	16	4	5	4	6	4	5	5
AW112010|-|-|19|19 A|ncRNA	56	65	4	3	38	34	3	6
Trim35|0710005M05Rik|A430106H13Rik|AW046487|HLS5|Mair|NC8|mKIAA1098|-|14|14 D1|protein-coding	149	82	104	125	129	140	122	132
Gm4489|Gm241|-|10 D2|10|ncRNA	0	0	0	0	0	0	0	0
Galnt16|5730405L21Rik|AI415388|Galntl1|mpp-GalNAc-T16|-|12|12 C3|protein-coding	19	8	14	20	10	16	11	11
Tmem164|AI316850|AI852450|AW547186|F730011B02|-|X|X F2|protein-coding	14	14	21	22	12	20	10	14
Rbp7|1110002J23Rik|CRBP-III|-|4|4 E2|protein-coding	0	0	0	0	0	0	0	0
Tram1l1|A830091N21Rik|-|3|3 G1|protein-coding	1	0	0	0	0	0	0	0
Cntn2|D130012K04Rik|TAG-1|Tax|-|1|1 E4|protein-coding	1	0	0	2	1	3	0	0
Vmn2r77|EG546983|-|7|7 D3|protein-coding	0	0	0	0	0	0	0	0
Jam2|1110002N23Rik|2410030G21Rik|2410167M24Rik|JAM-2|JAM-B|Jcam2|VE-JAM|-|16|16 C3.3|protein-coding	15	4	14	14	10	10	13	28
Rtn1|Nsp|-|12|12 C3|protein-coding	19	6	11	14	18	23	13	9
Mrgpra9|EG668725|MrgA9|-|7|7 B3|protein-coding	0	0	0	0	0	0	0	0
Dym|1810041M12Rik|4933427L07Rik|C030019K18Rik|-|18|18 E2-E3|protein-coding	55	36	45	48	58	60	37	46
H2afb2|EG624153|H2A.Bbd4|H2afb2-ps|-|X|X E1|protein-coding	0	0	0	0	0	0	0	0
Guf1|4631409J12|AA407526|EF-4|-|5|5 C3.1|protein-coding	3	3	0	5	5	6	1	2
Lrrc63|4921509B22Rik|-|14 D3|14|protein-coding	0	0	0	0	0	0	0	0
Uros|AI415298|UROIIIS|Uros3|-|7 F3|7 77.26 cM|protein-coding	30	18	37	36	26	38	22	35
Neu3|-|-|7|7 E1|protein-coding	1	2	2	0	1	2	1	0
Klk14|GK14|-|7 B3|7 28.26 cM|protein-coding	0	0	0	0	0	0	0	0
Glyatl3|EG435528|Gm5683|-|17|17 B2|protein-coding	0	0	0	0	0	0	0	0
Nkpd1|2310015G09Rik|-|7|7 A3|protein-coding	0	0	0	1	0	0	0	1
Zbed5|2410018M08Rik|Scand3|-|5|5 G1.3|protein-coding	5	4	3	6	6	1	9	5
Rnps1|-|-|17|17 A3.3|protein-coding	16	15	19	19	20	22	14	19
Angpt2|Agpt2|Ang-2|Ang2|-|8 A1.3|8 10.3 cM|protein-coding	31	23	17	15	33	16	21	20
Cav2|AI447843|-|6|6 A2|protein-coding	28	26	23	34	26	21	28	31
4930563H07Rik|-|-|6|6 B2.3|ncRNA	0	0	0	0	0	0	0	0
Tm4sf20|1810018L02Rik|-|1|1 C5|protein-coding	0	0	0	0	0	0	0	0
Gimap1|IAP38|Imap38|imap|-|6|6 B2.3|protein-coding	2	3	0	0	1	0	2	1
Zfp748|KRAB-O|Rslcan20/21|Zfp208|mszf54|-|13|13 B3|protein-coding	3	2	4	6	3	2	3	3
Fcrl5|Fcrh3|mBXMH2|-|3|3 F1|protein-coding	0	0	0	0	0	0	0	0
Ears2|3230401I01Rik|mKIAA1970|-|7|7 F2|protein-coding	11	7	6	10	7	7	9	9
2010009K17Rik|-|-|2|2 H1|ncRNA	0	0	0	0	0	0	0	0
Cnnm2|AU015877|AW048635|Acdp2|Clp2|-|19 C3|19 38.97 cM|protein-coding	40	19	23	36	39	47	34	36
Mir6943|Gm27791|mmu-mir-6943|-|13|13 B1|ncRNA	0	0	0	0	0	0	0	0
Rrh|-|-|3 G3|3 59.09 cM|protein-coding	1	0	1	3	1	1	2	2
9130230L23Rik|-|-|5|5 C3.1|ncRNA	0	0	0	0	0	0	0	0
Cct6b|CCT-zeta-2|CCTzeta-2|Cctz-2|TCP-1-zeta-2|-|11|11 C|protein-coding	0	0	0	0	0	2	0	0
E330012B07Rik|Gm15768|OTTMUSG00000026071|-|6 G3|6|ncRNA	0	0	0	0	0	0	0	0
H2-Q9|H-2Q9|Ped|Qa-2|Qa-9|Qa9|-|17|17|protein-coding	11	27	1	0	28	23	1	2
Gbp4|AW228052|Mag-2|Mpa-2|Mpa2|-|5 E5|5 50.68 cM|protein-coding	82	107	0	0	80	99	0	0
Zfp12|C530015C18|Krox-7|Zfp-12|Znf12|-|5|5 G2|protein-coding	9	9	5	4	6	10	4	7
Ahrr|mKIAA1234|-|13|13 C1|protein-coding	0	0	0	0	0	0	0	0
Gm10732|ENSMUSG00000074638|-|13 D2.3|13|ncRNA	0	0	0	0	0	0	0	0
Nat1|Nat-1|-|8 B3.2|8 33.38 cM|protein-coding	0	0	1	0	1	1	1	0
6430573F11Rik|Kiaa1456|TRM9L|-|8|8 A4|protein-coding	3	1	1	1	0	1	2	1
Sh3d21|1700029G01Rik|AU019788|-|4|4 D2.2|protein-coding	1	1	1	0	1	0	1	3
Tmem52b|D630042F21Rik|-|6|6 F3|protein-coding	0	0	0	0	0	0	0	0
Prss2|TRY8|TRYP|Ta|Tesp4|Try2|-|6|6 B1|protein-coding	0	0	0	0	0	1	0	1
Hspb6|AA387366|Gm479|Hsp20|-|7|7 B1|protein-coding	388	278	230	262	204	255	179	227
Mafb|Kreisler|Krml|Krml1|kr|-|2 H2|2 80.92 cM|protein-coding	4	5	2	1	6	4	2	0
Guca2b|AV066530|Gcap2|Ugn|-|4 D2.1|4 55.48 cM|protein-coding	0	0	0	0	0	0	0	0
Olfr99|MOR156-1|-|17|17 B1|protein-coding	0	0	0	0	0	0	0	0
2210416O15Rik|-|-|11|11 C|ncRNA	0	0	0	1	0	0	0	1
Ly6g5b|-|-|17|17 B1|protein-coding	0	0	0	0	0	1	0	0
Mir3074-1|mmu-mir-3074-1|-|13 B3|13 32.8 cM|ncRNA	0	0	0	0	0	0	0	0
Mir1957b|Gm27725|mmu-mir-1957b|-|8|8 E1|ncRNA	0	0	0	0	0	0	0	0
Dcbld2|1700055P21Rik|AW146002|CLCP1|Esdn|-|16|16 C1.2|protein-coding	17	14	7	12	12	13	5	10
Ttll7|1110049N09Rik|4921517B04Rik|C630030B20|mTTLL7|-|3|3 H2|protein-coding	10	3	9	10	9	8	5	12
Tomm5|1110019J04Rik|Tom5|-|4|4 B1|protein-coding	98	55	63	61	63	83	59	52
Mir1983|mmu-mir-1983|-|13 A3.1|13 8.05 cM|ncRNA	0	0	0	0	0	0	0	0
Ccdc144b|-|-|3|3 B|protein-coding	0	0	0	0	0	0	0	0
Gm13030|OTTMUSG00000010069|-|4 D3|4 70.57 cM|protein-coding	0	0	0	0	0	0	0	0
Tnfaip8l3|9930029P06Rik|Gm517|-|9|9 A5.3|protein-coding	0	0	0	0	1	0	0	0
Klhl10|4921517C11Rik|-|11|11 D|protein-coding	3	1	2	1	1	2	1	2
Lao1|AW990848|-|4|4 D2.1|protein-coding	0	0	0	0	0	0	0	0
Sema5b|AI893641|SemG|Semag|mKIAA1445|-|16|16 B3|protein-coding	1	0	0	0	0	0	0	0
Vsig8|A030011M19|EG240916|-|1|1 H3|protein-coding	0	0	0	0	0	0	0	1
Rnf7|Rbx2|SAG|-|9|9 E3.3|protein-coding	418	283	380	395	374	412	394	351
Mir6906|mmu-mir-6906|-|10|10 B4|ncRNA	0	0	0	0	0	0	0	0
Mir8120|Gm27637|mmu-mir-8120|-|3|3 E1|ncRNA	0	0	0	0	0	0	0	0
Psmb8|Lmp-7|Lmp7|-|17 B1|17 17.98 cM|protein-coding	1046	820	18	30	984	1017	35	27
Vmn1r227|V1re6|-|17|17 A3.2|protein-coding	0	0	0	0	0	0	0	0
Ppp1r18|2310014H01Rik|AA407849|AI450394|-|17|17 B1|protein-coding	21	9	3	7	15	9	4	7
Abhd6|0610041D24Rik|AA673485|AV065425|-|14|14 A1|protein-coding	91	65	86	72	88	99	80	87
Dock2|AI662014|AW122239|CED-5|Hch|MBC|-|11|11 A4|protein-coding	0	0	0	0	2	0	0	0
Tcf3|A1|AA408400|ALF2|AW209082|E12|E12/E47|E2A|E47|KA1|ME2|Pan1|Pan2|TCF-3|Tcfe2a|VDIR|bHLHb21|-|10 C1|10 39.72 cM|protein-coding	9	5	5	8	5	9	5	4
Arsg|6330406P08Rik|AI846872|-|11|11 E1|protein-coding	341	194	305	302	314	424	293	338
Cacna1i|Ca(V)3.3|-|15|15 E1|protein-coding	0	0	0	0	0	0	0	0
Fscn2|A930022G03|Ahl8|C630046B20Rik|-|11|11 E2|protein-coding	0	0	2	0	2	0	0	2
Nmnat2|AI843915|D030041I09Rik|PNAT1|PNAT2|-|1|1 G3|protein-coding	2	0	0	0	0	0	0	2
Atxn7l1os2|4930556N08Rik|-|12|12 A3|ncRNA	0	0	0	0	0	0	0	0
Gm5907|EG546036|Gm845|-|8|8 A1.1|ncRNA	0	0	0	0	0	0	0	0
Nbr1|mKIAA0049|-|11 D|11 65.36 cM|protein-coding	49	38	35	37	55	60	30	43
Tmem59|1110001M20Rik|3110046P06Rik|AI256529|D4Ertd20e|MTDCF1|ORF18|-|4 C7|4 50.12 cM|protein-coding	943	642	821	700	853	1041	750	810
Ccdc88c|0610010D24Rik|AV000935|AW324073|Daple|mKIAA1509|-|12|12 E|protein-coding	1	0	0	0	0	0	0	0
Gm5935|EG546282|-|X|X A2|protein-coding	0	0	0	0	0	0	0	0
Aurka|AIRK1|ARK-1|AU019385|AW539821|Ark1|Aurora-A|Ayk1|IAK|IAK1|Stk6|-|2 H3|2 94.84 cM|protein-coding	14	13	10	16	10	19	15	10
Mfap2|AI893631|Magp|Magp1|-|4|4 D3|protein-coding	18	2	10	8	4	5	5	4
Nucb2|AI607786|Calnuc|Nefa|Nesfatin-1|-|7|7 F1|protein-coding	41	23	27	24	17	47	30	40
Atp11c|A330005H02Rik|AI315324|Ig|-|X|X A6|protein-coding	14	12	28	13	16	18	20	16
Mir485|Mirn485|mir-485|mmu-mir-485|-|12 F1|12|ncRNA	0	0	0	0	0	0	0	0
Zfp335|1810045J01Rik|NIF-1|Nif1|Znf335|-|2|2 H3|protein-coding	14	6	10	8	6	10	10	9
Shcbp1l|1700012A16Rik|-|1|1 G3|protein-coding	0	0	0	0	0	0	0	0
Svs3b|9530004A22Rik|-|2|2 H3|protein-coding	0	0	0	0	0	0	0	0
Rnasek|2310033H11Rik|AA571397|D11Bwg0434e|-|11 B3|11 42.99 cM|protein-coding	1070	673	1029	951	858	1083	831	891
Rps27|3200001M24Rik|-|3|3 F1|protein-coding	10	5	5	8	7	4	4	8
Gm20823|-|-|Y|Y C3|protein-coding	0	0	0	0	0	0	0	0
Pdhx|AI481367|E3bp|Pdx1|-|2|2 E2|protein-coding	38	21	36	49	38	49	53	53
A230107N01Rik|-|-|13|13 C3|ncRNA	0	1	0	0	0	1	0	0
Oas1c|Oasl2|Oasl5|-|5 F|5 60.64 cM|protein-coding	7	6	8	5	6	9	2	8
Otud5|AA407879|AI553596|BB114028|DUBA|DXImx46e|Sfc7|-|X A1.1|X 3.54 cM|protein-coding	26	16	15	11	19	25	10	18
Pnp|AL024301|AU015798|Np|Np-1|Np-2|Pnp1|-|14 C1|14 26.31 cM|protein-coding	180	117	69	100	137	165	87	91
4933432I03Rik|-|-|14|14 E2.3|ncRNA	0	0	0	0	0	0	0	0
Ascc2|1700011I11Rik|2610034L15Rik|AI482016|ASC1p100|AW046480|-|11|11 A1|protein-coding	18	7	12	10	30	20	18	16
Pira1|6M21|Ly89|PIR-A1|Pir|-|7 A1|7 2.15 cM|protein-coding	0	0	0	0	0	0	0	1
Olfr715|MOR260-1|-|7|7 E3|protein-coding	0	0	0	0	0	0	0	0
Olfr1294|MOR248-7|-|2|2 E3|protein-coding	0	0	0	0	0	0	0	0
Ifi44l|H-28|H28|H28-1|NS1178|-|3 H3|3 76.94 cM|protein-coding	0	0	0	0	0	0	0	0
Defb20|9230107O10Rik|BD-20|mBD-20|-|2|2 G3|protein-coding	0	0	0	1	0	0	0	0
Gm15850|6530439I21|OTTMUSG00000026868|-|1|1 E4|ncRNA	0	0	0	0	0	0	0	0
Cdc40|1200003H23Rik|EHB3|PRP17|-|10|10 B1|protein-coding	15	4	3	7	9	13	8	6
Gm7361|-|-|5|5 B1|protein-coding	0	0	0	0	0	0	0	0
Gm10377|ENSMUSG00000072606|-|14|14 B|protein-coding	0	0	0	0	0	0	0	0
Foxp3|JM2|scurfin|sf|-|X A1.1|X 3.41 cM|protein-coding	0	0	0	0	0	0	0	0
Ces1f|AU018778|CesML1|TGH-2|-|8|8 C5|protein-coding	0	0	0	0	1	0	0	0
Gm20757|-|-|10|10 C2|ncRNA	0	0	0	0	0	0	0	0
A530021J07Rik|-|-|7|7 D3|protein-coding	0	0	0	0	0	0	0	0
Nlrp5|Mater|Nalp5|Op1|PAN11|-|7 A3|7 10.22 cM|protein-coding	0	0	0	0	0	0	0	0
Rgs14|RPIP1|-|13 B1|13 29.8 cM|protein-coding	0	0	0	0	0	1	0	0
Nudt17|2410015C20Rik|-|3|3 F2.1|protein-coding	2	2	1	3	1	1	3	2
Vmn1r191|V1rh15|-|13|13 A3.1|protein-coding	0	0	0	0	0	0	0	0
Zic3|Bn|Ka|-|X A6|X 32.56 cM|protein-coding	30	25	14	19	26	24	15	19
A930018P22Rik|-|-|2|2 E2|protein-coding	0	0	1	1	0	0	0	0
Mllt1|AA407901|BAM11|ENL|LTG19|-|17|17 D|protein-coding	17	21	16	15	19	32	12	22
Apoh|B2GPI|beta-2-GPI|beta2-GPI|-|11 E1|11 71.8 cM|protein-coding	2	0	2	3	1	2	0	0
Ccr4|C-C CKR-4|CHEMR1|Cmkbr4|LESTR|Sdf1r|-|9 F3|9 64.49 cM|protein-coding	0	0	0	0	0	0	0	0
Mepce|Bcdin3|D5Wsu46e|-|5 G2|5 76.7 cM|protein-coding	18	14	13	15	12	22	13	14
Vmn1r149|Gm4194|-|7 A3|7|protein-coding	0	0	0	0	0	0	0	0
Nsmce1|2510027N19Rik|-|7|7 F3|protein-coding	137	67	74	83	112	122	74	83
Gm25285|Mir466c-3|mmu-mir-466c-3|-|2|2 A1|ncRNA	0	0	0	0	0	0	0	0
Polr3f|2810411G20Rik|3010019O03Rik|3110032A07Rik|RPC39|RPC6|-|2|2 G1|protein-coding	11	8	6	4	11	7	4	7
Nif3l1|1110030G24Rik|-|1|1 C1.3|protein-coding	30	26	30	22	24	33	29	18
Pros1|AW214361|-|16|16 C1.3|protein-coding	34	19	12	22	19	20	6	16
Abcb1b|Abcb1|Mdr1|Mdr1b|Pgy-1|Pgy1|mdr|-|5 A1|5 3.43 cM|protein-coding	1	2	0	0	1	0	0	0
Cyfip1|E030028J09Rik|P140SRA-1|P140sra1|Shyc|Sra-1|Sra1|l(7)1Rl|l71Rl|l7Rl1|mKIAA0068|pl-1|-|7|7 B5|protein-coding	52	46	27	28	45	55	32	37
Maea|1110030D19Rik|EMP|Gid9|-|5|5 B1|protein-coding	342	241	311	257	297	389	235	286
Tmsb4x|Ptmb4|Tb4|-|X F5|X 78.28 cM|protein-coding	1858	1440	1133	1221	1182	1108	795	968
Reg3b|HIP|PAP1|Pap|REG-III|-|6|6 C3|protein-coding	0	0	0	0	0	0	0	0
Olfr151|M71|MOR171-2|-|9|9 A4|protein-coding	0	0	0	0	0	0	0	0
Dnttip1|6430706C13Rik|-|2|2 H3|protein-coding	20	4	15	12	17	10	13	9
Dnah7a|Dnahc7|Dnahc7a|Gm992|-|1|1 C1.1|protein-coding	0	0	0	0	0	0	0	0
Olfr103|MOR250-3|MOR250-8_p|-|17|17 B1|protein-coding	0	0	0	0	0	0	0	0
Bmp5|AU023399|se|-|9 D|9 42.34 cM|protein-coding	2	2	1	0	1	5	3	0
Htr5b|5-Ht5b|-|1 E2.3|1 52.98 cM|protein-coding	1	0	1	0	0	0	2	0
Gm17359|-|-|3|3 E3|protein-coding	0	0	0	0	1	0	0	0
Mir190b|Mirn190b|mir-190b|-|3 F1|3|ncRNA	0	0	0	0	0	0	0	0
Tmub2|2010008E23Rik|-|11|11 D|protein-coding	68	47	78	52	64	87	62	64
Vmn1r81|V1rg9|-|7|7 A1|protein-coding	0	0	0	0	0	0	0	0
Lman1l|BC020188|slamp|-|9|9 B|protein-coding	0	0	0	0	0	0	0	0
Gm4251|-|-|14 D2|14|ncRNA	0	0	0	0	0	0	0	0
Plk4|1700028H20|AI385771|Sak|Stk18|-|3|3 B|protein-coding	3	3	4	2	2	1	3	4
Sez6|BSRP-C|D11Bhm177e|sez-6|-|11 B5|11 46.74 cM|protein-coding	0	0	1	0	0	0	0	0
Rnase1|AI574248|Rib-1|Rib1|-|14 C1|14 26.4 cM|protein-coding	0	0	0	0	0	0	0	0
Jakmip3|6330417G02Rik|AI593226|mKIAA4091|-|7|7 F4|protein-coding	0	1	1	1	1	1	0	0
Ppp1r32|4930579J09Rik|AU015816|IIIG9|IIIG9L|IIIG9S|-|19|19 A|protein-coding	0	0	0	0	0	0	0	0
Usp8|AI574262|AW557536|Ubpy|mKIAA0055|-|2|2 F1|protein-coding	88	49	69	66	86	88	62	53
Sipa1l1|4931426N11Rik|AW213287|Spar|mKIAA0440|-|12|12 D1|protein-coding	28	24	19	19	22	27	16	18
Ltk|-|-|2 E5|2 59.97 cM|protein-coding	3	1	0	0	3	1	0	0
Tatdn2|AI646012|mKIAA0218|-|6 E3|6 52.83 cM|protein-coding	4	1	3	5	6	4	1	1
Atp5g1|-|-|11|11 D|protein-coding	111	52	108	91	125	209	138	146
Zfp90|6430515L01Rik|KRAB17|NK10|Zfp64|Zfp83|mKIAA1954|-|8 D3|8 53.14 cM|protein-coding	4	5	2	1	6	3	1	2
Trem1|-|-|17|17 C|protein-coding	2	0	0	0	0	0	0	1
B230118H07Rik|NWC|-|2 E2|2 53.83 cM|protein-coding	129	93	142	118	115	172	108	115
Fermt3|C79673|Kindlin3|-|19|19 A|protein-coding	8	1	4	4	11	4	4	4
Atp8a2|AI415030|Atpc1b|agil|wl|-|14|14 C3-D1|protein-coding	0	0	1	0	1	1	0	0
Edrf1|2700050L05Rik|AU022667|AW558805|-|7|7 F3|protein-coding	3	1	2	8	5	3	0	5
Mir1946b|mmu-mir-1946b|-|9 A3|9 7.84 cM|ncRNA	0	0	0	0	0	0	0	0
Rab36|6330593L16Rik|AW047545|-|10|10 C1|protein-coding	38	24	17	28	23	32	17	31
Tnfsf13|2310026N09Rik|April|Tall2|Tnlg7b|Trdl1|-|11|11 B3|protein-coding	1	2	1	2	1	0	2	4
Tex37|1700011F03Rik|-|6|6 C1|protein-coding	0	0	0	0	0	0	0	0
Pnma1|5730402C15Rik|-|12|12 D1|protein-coding	1	0	0	1	0	0	0	0
Lncpint|Lincpint|MNCb-1768|Pint|linc-Pint|-|6|6 A3.3|ncRNA	0	0	0	0	0	0	0	0
Huwe1|5430439H10Rik|AU041296|Arf-bp1|C430014N20Rik|C80292|Gm1718|Ib772|LASU1|Mule|Ureb1|-|X|X F3|protein-coding	47	25	37	39	35	43	34	35
Xlr4b|Xlr4|-|X A7.3|X 37.29 cM|protein-coding	1	0	0	0	0	0	1	1
Olfr937|MOR171-24|-|9|9 A5.1|protein-coding	0	0	0	0	0	0	0	0
Tek|AA517024|Cd202b|Hyk|STK1|Tie-2|Tie2|-|4 C5|4 43.34 cM|protein-coding	0	0	1	0	0	2	0	1
Phf20|6820402O20Rik|-|2|2 H1|protein-coding	30	19	26	15	22	27	17	25
Slitrk4|6430513G13|D930039I09Rik|-|X|X A7.1|protein-coding	0	0	0	0	0	0	0	0
Szt2|6430407N22|ENSMUSG00000058432|TIGR|-|4|4 D2.1|protein-coding	6	5	8	4	7	7	4	7
Tmem131|2610524E03Rik|CC28|D1Bwg0491e|Neg|RW1|YR-23|mKIAA0257|-|1 B|1 15.42 cM|protein-coding	20	6	11	11	9	17	12	7
Mbd3l2|-|-|9|9 A2|protein-coding	0	0	0	0	0	0	0	0
Loxl4|4833426I20Rik|Loxc|-|19|19 C3|protein-coding	22	13	15	12	22	26	19	14
Msmb|PIP|PSP94|beta-MSP|-|14|14 B|protein-coding	0	0	0	0	0	0	0	0
Gm5126|EG331480|-|X|X D|ncRNA	0	0	0	0	0	0	0	0
Rph3al|Gm1753|Noc2|-|11|11 B5|protein-coding	2	2	3	6	6	7	2	4
2610306M01Rik|-|-|6|6 D1|ncRNA	8	3	8	3	7	10	11	5
Slco1a1|A530084B21|OATP-1|Oatp1|Oatp1a1|Slc21a1|-|6|6 G2|protein-coding	0	0	0	0	0	0	0	0
Dynap|2310002L13Rik|-|18 E2|18 44.21 cM|protein-coding	0	0	0	0	0	0	0	0
Phldb1|AU041016|D330037A14Rik|Ll5a|-|9|9 A5.2|protein-coding	37	27	48	36	38	47	42	33
Tcf7l1|Tcf-3|Tcf3|bHLHb21|-|6 C1|6 32.27 cM|protein-coding	13	7	8	5	4	6	5	7
4930568D16Rik|Ggta1l1|-|2|2 B|protein-coding	0	0	0	0	0	0	0	0
Tfr2|Trfr2|-|5|5 G2|protein-coding	4	4	5	2	5	4	6	5
Crnde|4933436C20Rik|-|8|8 C5|ncRNA	1	2	1	2	1	1	3	2
A330076H08Rik|Mirh1|-|7|7 C|ncRNA	0	0	0	0	0	0	1	0
Psmb2|AU045357|AW108089|C7-I|D4Wsu33e|HC7-I|-|4 D2.2|4 60.9 cM|protein-coding	380	304	216	220	271	290	183	224
Scrn3|4833415E20Rik|AI427019|AV002033|Ses3|-|2|2 C3|protein-coding	9	11	8	10	10	8	8	5
Tollip|4930403G24Rik|4931428G15Rik|-|7|7 F5|protein-coding	96	51	85	64	83	71	81	86
Ccdc130|4930527D15Rik|C77430|-|8|8 C2|protein-coding	17	12	11	10	20	16	11	11
Phldb3|EG232970|ENSMUSG00000061511|Gm10102|-|7|7 A3|protein-coding	0	0	0	0	0	0	0	0
Cgn|6330408J11Rik|-|3 F2.1|3 40.74 cM|protein-coding	8	6	7	7	6	6	9	4
Mir6927|Gm27662|mmu-mir-6927|-|11|11 D|ncRNA	0	0	0	0	0	0	0	0
